N1,P1,P2,N3,P3,N1_prev1,P1_prev1,P2_prev1,N3_prev1,P3_prev1,N1_prev2,P1_prev2,P2_prev2,N3_prev2,P3_prev2,N1_prev3,P1_prev3,P2_prev3,N3_prev3,P3_prev3,AP,Predicted AP,subject
1.13311e-05,3.49552e-05,0.000148193518,0.0004598152,-0.00046325,-6.21301e-05,-6.116e-07,0.000116977099,0.000486063,-0.000489216,-0.0003087437,7.12468e-05,4.37297931e-05,6.18701e-05,-0.000127857,-0.0003384592,5.18354e-05,5.46819138e-05,6.30973e-05,-9.2076e-05,2.0,2.0,S2_32C
1.49742e-05,1.92362e-05,0.000108279288,0.0004234075,-0.000454517,1.13311e-05,3.49552e-05,0.000148193518,0.0004598152,-0.00046325,-6.21301e-05,-6.116e-07,0.000116977099,0.000486063,-0.000489216,-0.0003087437,7.12468e-05,4.37297931e-05,6.18701e-05,-0.000127857,2.0,2.0,S2_32C
2.57011e-05,1.76648e-05,0.000143134326,0.0003852967,-0.000426706,1.49742e-05,1.92362e-05,0.000108279288,0.0004234075,-0.000454517,1.13311e-05,3.49552e-05,0.000148193518,0.0004598152,-0.00046325,-6.21301e-05,-6.116e-07,0.000116977099,0.000486063,-0.000489216,2.0,2.0,S2_32C
1.29759e-05,-0.0002461059,-0.000433526031,-0.0009970668,-0.000566001,-8.37244e-05,-0.000183234,-0.000434423739,8.79661e-05,-0.000526566,-8.41849e-05,4.61184e-05,7.696377e-05,9.32251e-05,-0.000154531,-8.46202e-05,5.75838e-05,0.00013379821,9.95519e-05,-0.000162899,3.0,3.0,S2_32C
3.46856e-05,-0.0002953387,-0.000541917398,-0.0009407273,-0.000619845,1.29759e-05,-0.0002461059,-0.000433526031,-0.0009970668,-0.000566001,-8.37244e-05,-0.000183234,-0.000434423739,8.79661e-05,-0.000526566,-8.41849e-05,4.61184e-05,7.696377e-05,9.32251e-05,-0.000154531,3.0,3.0,S2_32C
4.07907e-05,-0.0002792726,-0.000525090727,-0.0009752228,-0.000597025,3.46856e-05,-0.0002953387,-0.000541917398,-0.0009407273,-0.000619845,1.29759e-05,-0.0002461059,-0.000433526031,-0.0009970668,-0.000566001,-8.37244e-05,-0.000183234,-0.000434423739,8.79661e-05,-0.000526566,3.0,3.0,S2_32C
4.38925e-05,-0.0002768305,-0.000486611592,-0.0009801261,-0.000573387,4.07907e-05,-0.0002792726,-0.000525090727,-0.0009752228,-0.000597025,3.46856e-05,-0.0002953387,-0.000541917398,-0.0009407273,-0.000619845,1.29759e-05,-0.0002461059,-0.000433526031,-0.0009970668,-0.000566001,3.0,3.0,S2_32C
4.18249e-05,-0.0002828601,-0.000488276535,-0.0009761315,-0.000582716,4.38925e-05,-0.0002768305,-0.000486611592,-0.0009801261,-0.000573387,4.07907e-05,-0.0002792726,-0.000525090727,-0.0009752228,-0.000597025,3.46856e-05,-0.0002953387,-0.000541917398,-0.0009407273,-0.000619845,3.0,3.0,S2_32C
-0.0001925217,2.06974e-05,0.00027575338,-1.74599e-05,-0.00039968,-3.4437e-05,-3.00585e-05,4.91763531e-05,-0.0002254534,-0.000307107,-3.37163e-05,-5.50641e-05,1.95700577e-05,-0.0002713449,-0.000301068,-3.29401e-05,-4.49719e-05,1.7989978e-05,-0.0003248395,-0.000349579,4.0,1.0,S2_32C
-0.0001860652,0.000108517,0.000228116973,4.2052e-06,-0.000406955,-0.0001925217,2.06974e-05,0.00027575338,-1.74599e-05,-0.00039968,-3.4437e-05,-3.00585e-05,4.91763531e-05,-0.0002254534,-0.000307107,-3.37163e-05,-5.50641e-05,1.95700577e-05,-0.0002713449,-0.000301068,4.0,4.0,S2_32C
-0.0002034544,0.0001125011,0.000244536786,1.31773e-05,-0.000347989,-0.0001860652,0.000108517,0.000228116973,4.2052e-06,-0.000406955,-0.0001925217,2.06974e-05,0.00027575338,-1.74599e-05,-0.00039968,-3.4437e-05,-3.00585e-05,4.91763531e-05,-0.0002254534,-0.000307107,4.0,4.0,S2_32C
-0.0002143952,0.0001250175,0.00022918827,1.81646e-05,-0.000341376,-0.0002034544,0.0001125011,0.000244536786,1.31773e-05,-0.000347989,-0.0001860652,0.000108517,0.000228116973,4.2052e-06,-0.000406955,-0.0001925217,2.06974e-05,0.00027575338,-1.74599e-05,-0.00039968,4.0,5.0,S2_32C
-0.0001042154,0.0003211309,0.000619029277,5.29841e-05,-0.000243879,-8.45772e-05,6.4313e-05,8.17084074e-05,-2.08808e-05,-0.000123,-8.66773e-05,4.87272e-05,9.47289445e-05,-2.37813e-05,-0.000113936,-8.50828e-05,6.03762e-05,5.83946676e-05,-2.56237e-05,-0.000117822,5.0,8.0,S2_32C
-8.38639e-05,0.0003498247,0.000696159026,0.0001043538,-0.000256885,-0.0001042154,0.0003211309,0.000619029277,5.29841e-05,-0.000243879,-8.45772e-05,6.4313e-05,8.17084074e-05,-2.08808e-05,-0.000123,-8.66773e-05,4.87272e-05,9.47289445e-05,-2.37813e-05,-0.000113936,5.0,8.0,S2_32C
-0.000106692,0.0003490033,0.000626556517,4.37578e-05,-0.000154906,-8.38639e-05,0.0003498247,0.000696159026,0.0001043538,-0.000256885,-0.0001042154,0.0003211309,0.000619029277,5.29841e-05,-0.000243879,-8.45772e-05,6.4313e-05,8.17084074e-05,-2.08808e-05,-0.000123,5.0,8.0,S2_32C
-0.0001034863,0.0003333914,0.000578428153,4.44494e-05,-0.000165207,-0.000106692,0.0003490033,0.000626556517,4.37578e-05,-0.000154906,-8.38639e-05,0.0003498247,0.000696159026,0.0001043538,-0.000256885,-0.0001042154,0.0003211309,0.000619029277,5.29841e-05,-0.000243879,5.0,8.0,S2_32C
-9.9282e-05,0.0003420654,0.000617002137,4.12031e-05,-0.000189241,-0.0001034863,0.0003333914,0.000578428153,4.44494e-05,-0.000165207,-0.000106692,0.0003490033,0.000626556517,4.37578e-05,-0.000154906,-8.38639e-05,0.0003498247,0.000696159026,0.0001043538,-0.000256885,5.0,8.0,S2_32C
-3.62433e-05,-0.0003873983,0.000745086174,-0.0002862577,0.000221622,-6.91425e-05,-0.0002057464,0.00070538494,-1.1519e-06,8.4248e-05,-7.19894e-05,0.0001696652,0.000229513462,-3.399e-06,-0.000103469,-7.80316e-05,0.0001717695,0.000208340774,-5.5469e-06,-8.3012e-05,6.0,0.0,S2_32C
-1.43028e-05,-0.0006072773,0.000871115597,-0.0002424083,0.000171941,-3.62433e-05,-0.0003873983,0.000745086174,-0.0002862577,0.000221622,-6.91425e-05,-0.0002057464,0.00070538494,-1.1519e-06,8.4248e-05,-7.19894e-05,0.0001696652,0.000229513462,-3.399e-06,-0.000103469,6.0,3.0,S2_32C
-7.3534e-06,-0.0007237311,0.000867311319,-0.000229387,0.000127769,-1.43028e-05,-0.0006072773,0.000871115597,-0.0002424083,0.000171941,-3.62433e-05,-0.0003873983,0.000745086174,-0.0002862577,0.000221622,-6.91425e-05,-0.0002057464,0.00070538494,-1.1519e-06,8.4248e-05,6.0,0.0,S2_32C
2.4557e-06,-0.0007087338,0.000923050742,-0.0002038167,0.000127272,-7.3534e-06,-0.0007237311,0.000867311319,-0.000229387,0.000127769,-1.43028e-05,-0.0006072773,0.000871115597,-0.0002424083,0.000171941,-3.62433e-05,-0.0003873983,0.000745086174,-0.0002862577,0.000221622,6.0,0.0,S2_32C
