N1;P1;P2;N3;P3;AP;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3
-0.0001772601;4.39072e-05;0.00010642055;6.27864e-05;-0.000115006;0.0;-0.0002021744;4.82017e-05;0.000111551926;6.41106e-05;-0.0001151751;-0.0002304268;3.64888e-05;0.000106494525;6.83714e-05;-0.000113825;-0.000262106;4.62705e-05;0.000106032036;6.98452e-05;-0.00011993
-0.0001597694;4.21197e-05;0.000101100872;6.21308e-05;-0.000111694;0.0;-0.0001772601;4.39072e-05;0.00010642055;6.27864e-05;-0.000115006;-0.0002021744;4.82017e-05;0.000111551926;6.41106e-05;-0.0001151751;-0.0002304268;3.64888e-05;0.000106494525;6.83714e-05;-0.000113825
-0.0001459816;3.94878e-05;0.000105231469;6.19202e-05;-0.000109166;0.0;-0.0001597694;4.21197e-05;0.000101100872;6.21308e-05;-0.000111694;-0.0001772601;4.39072e-05;0.00010642055;6.27864e-05;-0.000115006;-0.0002021744;4.82017e-05;0.000111551926;6.41106e-05;-0.0001151751
-0.0001325808;4.17924e-05;9.67173983e-05;5.98215e-05;-0.00010592;0.0;-0.0001459816;3.94878e-05;0.000105231469;6.19202e-05;-0.000109166;-0.0001597694;4.21197e-05;0.000101100872;6.21308e-05;-0.000111694;-0.0001772601;4.39072e-05;0.00010642055;6.27864e-05;-0.000115006
-0.0001210976;4.27963e-05;9.60042671e-05;5.74751e-05;-0.000112158;0.0;-0.0001325808;4.17924e-05;9.67173983e-05;5.98215e-05;-0.00010592;-0.0001459816;3.94878e-05;0.000105231469;6.19202e-05;-0.000109166;-0.0001597694;4.21197e-05;0.000101100872;6.21308e-05;-0.000111694
-0.0001136856;3.86581e-05;0.000103103215;5.55105e-05;-9.61998e-05;0.0;-0.0001210976;4.27963e-05;9.60042671e-05;5.74751e-05;-0.000112158;-0.0001325808;4.17924e-05;9.67173983e-05;5.98215e-05;-0.00010592;-0.0001459816;3.94878e-05;0.000105231469;6.19202e-05;-0.000109166
-0.0001068808;3.73962e-05;9.69095418e-05;5.42833e-05;-9.72393e-05;0.0;-0.0001136856;3.86581e-05;0.000103103215;5.55105e-05;-9.61998e-05;-0.0001210976;4.27963e-05;9.60042671e-05;5.74751e-05;-0.000112158;-0.0001325808;4.17924e-05;9.67173983e-05;5.98215e-05;-0.00010592
-9.87302e-05;4.02357e-05;9.5586649e-05;5.22554e-05;-0.00010369;0.0;-0.0001068808;3.73962e-05;9.69095418e-05;5.42833e-05;-9.72393e-05;-0.0001136856;3.86581e-05;0.000103103215;5.55105e-05;-9.61998e-05;-0.0001210976;4.27963e-05;9.60042671e-05;5.74751e-05;-0.000112158
-9.17847e-05;4.43708e-05;9.72655325e-05;5.14209e-05;-9.7883e-05;0.0;-9.87302e-05;4.02357e-05;9.5586649e-05;5.22554e-05;-0.00010369;-0.0001068808;3.73962e-05;9.69095418e-05;5.42833e-05;-9.72393e-05;-0.0001136856;3.86581e-05;0.000103103215;5.55105e-05;-9.61998e-05
-8.64926e-05;4.04634e-05;9.70346446e-05;5.02832e-05;-0.000100544;0.0;-9.17847e-05;4.43708e-05;9.72655325e-05;5.14209e-05;-9.7883e-05;-9.87302e-05;4.02357e-05;9.5586649e-05;5.22554e-05;-0.00010369;-0.0001068808;3.73962e-05;9.69095418e-05;5.42833e-05;-9.72393e-05
