time;N1;P1;P2;N3;P3;N1_prev1;P1_prev1;P2_prev1;N3_prev1;P3_prev1;N1_prev2;P1_prev2;P2_prev2;N3_prev2;P3_prev2;N1_prev3;P1_prev3;P2_prev3;N3_prev3;P3_prev3;AP;Predicted AP
578.0012738704681;-7.77966e-05;0.0001331544;9.2089329e-05;5.65577e-05;-0.000152897;-8.1574e-05;0.0001226048;9.00112573e-05;5.61814e-05;-0.00014996;-8.66898e-05;0.0001474394;0.000114150142;5.63373e-05;-0.000218895;-9.30446e-05;0.0001460527;9.23592161e-05;5.62392e-05;-0.000170186;0;0
581.0416769981384;-7.52591e-05;0.0001275801;9.01211606e-05;5.48505e-05;-0.000152477;-7.77966e-05;0.0001331544;9.2089329e-05;5.65577e-05;-0.000152897;-8.1574e-05;0.0001226048;9.00112573e-05;5.61814e-05;-0.00014996;-8.66898e-05;0.0001474394;0.000114150142;5.63373e-05;-0.000218895;0;0
667.5358254909515;-0.0001026513;0.000173257;0.000206412195;9.78229e-05;-0.000144837;-0.0001015709;0.0002161437;0.000280385604;0.0001061722;-0.00018116;-0.0001085508;0.0002423923;0.000326089619;0.0001273922;-0.000183622;-0.0001269111;0.0003039108;0.000534351158;0.0002255721;-0.000255284;0;0
670.6796720027924;-8.84563e-05;0.0001739556;0.000195651228;9.22968e-05;-0.000132803;-0.0001026513;0.000173257;0.000206412195;9.78229e-05;-0.000144837;-0.0001015709;0.0002161437;0.000280385604;0.0001061722;-0.00018116;-0.0001085508;0.0002423923;0.000326089619;0.0001273922;-0.000183622;0;0
673.8619155883789;-8.29964e-05;0.0001950034;0.000184703429;9.28858e-05;-0.000172913;-8.84563e-05;0.0001739556;0.000195651228;9.22968e-05;-0.000132803;-0.0001026513;0.000173257;0.000206412195;9.78229e-05;-0.000144837;-0.0001015709;0.0002161437;0.000280385604;0.0001061722;-0.00018116;0;0
677.0756843090057;-8.08019e-05;0.0001650822;0.000199201124;8.64924e-05;-0.000118727;-8.29964e-05;0.0001950034;0.000184703429;9.28858e-05;-0.000172913;-8.84563e-05;0.0001739556;0.000195651228;9.22968e-05;-0.000132803;-0.0001026513;0.000173257;0.000206412195;9.78229e-05;-0.000144837;0;5
680.1647465229034;-7.92012e-05;0.0001779879;0.000165669495;8.30236e-05;-0.000154917;-8.08019e-05;0.0001650822;0.000199201124;8.64924e-05;-0.000118727;-8.29964e-05;0.0001950034;0.000184703429;9.28858e-05;-0.000172913;-8.84563e-05;0.0001739556;0.000195651228;9.22968e-05;-0.000132803;0;8
818.0280711650848;-8.151e-05;0.0002309395;0.000111477275;-4.25579e-05;-3.269e-05;-8.14554e-05;0.0002621561;0.000108430249;-5.67388e-05;-6.403e-06;-9.31893e-05;0.0002912486;9.38939411e-06;-6.96085e-05;-2.6552e-05;-0.0001402164;0.0002950826;8.23339869e-05;-8.81679e-05;5.012e-06;0;0
821.2525591850281;-5.97363e-05;0.0002385814;0.000115057628;-3.47355e-05;-4.9869e-05;-8.151e-05;0.0002309395;0.000111477275;-4.25579e-05;-3.269e-05;-8.14554e-05;0.0002621561;0.000108430249;-5.67388e-05;-6.403e-06;-9.31893e-05;0.0002912486;9.38939411e-06;-6.96085e-05;-2.6552e-05;0;0
824.4869232177734;-5.81838e-05;0.0002279269;0.000121820856;-2.77552e-05;-2.5205e-05;-5.97363e-05;0.0002385814;0.000115057628;-3.47355e-05;-4.9869e-05;-8.151e-05;0.0002309395;0.000111477275;-4.25579e-05;-3.269e-05;-8.14554e-05;0.0002621561;0.000108430249;-5.67388e-05;-6.403e-06;0;0
827.8093547821045;-5.36491e-05;0.0002252488;0.000105150059;-2.53816e-05;-3.2966e-05;-5.81838e-05;0.0002279269;0.000121820856;-2.77552e-05;-2.5205e-05;-5.97363e-05;0.0002385814;0.000115057628;-3.47355e-05;-4.9869e-05;-8.151e-05;0.0002309395;0.000111477275;-4.25579e-05;-3.269e-05;0;8
830.9725074768066;-5.30585e-05;0.0002308577;9.59851677e-05;-2.31672e-05;-2.6949e-05;-5.36491e-05;0.0002252488;0.000105150059;-2.53816e-05;-3.2966e-05;-5.81838e-05;0.0002279269;0.000121820856;-2.77552e-05;-2.5205e-05;-5.97363e-05;0.0002385814;0.000115057628;-3.47355e-05;-4.9869e-05;0;8
874.9722871780396;-7.32881e-05;0.0001884273;-1.01417127e-05;-1.56404e-05;-5.1492e-05;-8.11061e-05;0.0001941862;-6.70684676e-06;-2.43235e-05;-2.5371e-05;-9.33372e-05;0.0002030459;8.29489145e-05;-2.9662e-05;-1.5302e-05;-0.0001349316;0.0001858594;7.91514904e-05;-4.10405e-05;-1.4783e-05;0;0
878.1420216560364;-6.58833e-05;0.0001925897;0.00018421805;-9.5165e-06;-2.3527e-05;-7.32881e-05;0.0001884273;-1.01417127e-05;-1.56404e-05;-5.1492e-05;-8.11061e-05;0.0001941862;-6.70684676e-06;-2.43235e-05;-2.5371e-05;-9.33372e-05;0.0002030459;8.29489145e-05;-2.9662e-05;-1.5302e-05;0;0
882.5137076377869;-9.39866e-05;0.0001669211;8.51493605e-05;-1.26581e-05;-3.6201e-05;-6.58833e-05;0.0001925897;0.00018421805;-9.5165e-06;-2.3527e-05;-7.32881e-05;0.0001884273;-1.01417127e-05;-1.56404e-05;-5.1492e-05;-8.11061e-05;0.0001941862;-6.70684676e-06;-2.43235e-05;-2.5371e-05;0;5
885.7743158340454;-5.85981e-05;0.0001746395;9.56969889e-05;-5.9134e-06;-4.4702e-05;-9.39866e-05;0.0001669211;8.51493605e-05;-1.26581e-05;-3.6201e-05;-6.58833e-05;0.0001925897;0.00018421805;-9.5165e-06;-2.3527e-05;-7.32881e-05;0.0001884273;-1.01417127e-05;-1.56404e-05;-5.1492e-05;0;0
888.9252092838287;-5.65296e-05;0.0001733786;0.000131026944;-9.785e-07;-4.7175e-05;-5.85981e-05;0.0001746395;9.56969889e-05;-5.9134e-06;-4.4702e-05;-9.39866e-05;0.0001669211;8.51493605e-05;-1.26581e-05;-3.6201e-05;-6.58833e-05;0.0001925897;0.00018421805;-9.5165e-06;-2.3527e-05;0;0
933.0444707870485;-4.33365e-05;0.000296975;0.000120088167;1.52641e-05;-5.3987e-05;-4.54481e-05;0.0003235729;0.000147860555;1.83904e-05;-5.848e-05;-4.70258e-05;0.0003843351;0.000144144244;2.14818e-05;-4.4404e-05;-4.70992e-05;0.0004508732;0.000187502112;2.55648e-05;-7.8507e-05;0;0
936.2063045501708;-4.58352e-05;0.0002844868;9.52406772e-05;2.04674e-05;-8.363e-05;-4.33365e-05;0.000296975;0.000120088167;1.52641e-05;-5.3987e-05;-4.54481e-05;0.0003235729;0.000147860555;1.83904e-05;-5.848e-05;-4.70258e-05;0.0003843351;0.000144144244;2.14818e-05;-4.4404e-05;0;8
939.45046377182;-4.46813e-05;0.0002659891;4.26717816e-05;1.97092e-05;-3.2801e-05;-4.58352e-05;0.0002844868;9.52406772e-05;2.04674e-05;-8.363e-05;-4.33365e-05;0.000296975;0.000120088167;1.52641e-05;-5.3987e-05;-4.54481e-05;0.0003235729;0.000147860555;1.83904e-05;-5.848e-05;0;8
943.887336730957;-4.44894e-05;0.0002414849;0.000102662292;1.68305e-05;-5.0322e-05;-4.46813e-05;0.0002659891;4.26717816e-05;1.97092e-05;-3.2801e-05;-4.58352e-05;0.0002844868;9.52406772e-05;2.04674e-05;-8.363e-05;-4.33365e-05;0.000296975;0.000120088167;1.52641e-05;-5.3987e-05;0;8
947.1072504520416;-4.56716e-05;0.0002377695;0.000117813848;1.7029e-05;-4.4216e-05;-4.44894e-05;0.0002414849;0.000102662292;1.68305e-05;-5.0322e-05;-4.46813e-05;0.0002659891;4.26717816e-05;1.97092e-05;-3.2801e-05;-4.58352e-05;0.0002844868;9.52406772e-05;2.04674e-05;-8.363e-05;0;8
1104.6526536941528;-0.0004782245;0.0002486379;0.000148995328;5.51843e-05;-8.3674e-05;-0.0006204347;0.0002647115;0.000143827987;8.80414e-05;-0.000103955;-0.0008045834;0.0002857016;0.000176571601;0.000143289;-0.000144274;-0.0015846141;0.0003211571;0.000269285316;0.0007874385;-0.000380768;0;0
1109.2064208984375;-0.000410586;0.0002470498;0.00011522248;3.98319e-05;-6.4343e-05;-0.0004782245;0.0002486379;0.000148995328;5.51843e-05;-8.3674e-05;-0.0006204347;0.0002647115;0.000143827987;8.80414e-05;-0.000103955;-0.0008045834;0.0002857016;0.000176571601;0.000143289;-0.000144274;0;0
1113.6853487491608;-0.0003456059;0.0002327847;9.9996847e-05;3.2147e-05;-5.9242e-05;-0.000410586;0.0002470498;0.00011522248;3.98319e-05;-6.4343e-05;-0.0004782245;0.0002486379;0.000148995328;5.51843e-05;-8.3674e-05;-0.0006204347;0.0002647115;0.000143827987;8.80414e-05;-0.000103955;0;0
1116.8518776893616;-0.000295709;0.0002182584;0.000119545424;2.97755e-05;-4.6921e-05;-0.0003456059;0.0002327847;9.9996847e-05;3.2147e-05;-5.9242e-05;-0.000410586;0.0002470498;0.00011522248;3.98319e-05;-6.4343e-05;-0.0004782245;0.0002486379;0.000148995328;5.51843e-05;-8.3674e-05;0;0
1160.5232517719269;-6.39658e-05;5.73855e-05;-0.000129866487;-0.0005829075;-0.000561221;-4.62926e-05;4.87881e-05;-0.00019552953;-0.0009517709;-0.00097618;-6.2408e-05;2.52983e-05;-0.000265238719;-0.001181288;-0.002726597;-7.35188e-05;2.48063e-05;-0.000249272183;-0.001134721;-0.002708369;0;0
